# date=2026-09-16T00:59:06,gpu=NVIDIA GeForce RTX 3090,driver=616.56,git=6a86c42+dirty,args=--n 8..26
impl,op,n,block_size,run,ms,ok
naive,scan,32768,32,0,0.317568,1
naive,scan,32768,32,1,0.360864,1
naive,scan,32768,32,2,0.131584,1
naive,scan,32768,32,3,0.131936,1
naive,scan,32768,32,4,0.128608,1
naive,scan,65536,32,0,0.189504,1
naive,scan,65536,32,1,0.264992,1
naive,scan,65536,32,2,0.149440,1
naive,scan,65536,32,3,0.222784,1
naive,scan,65536,32,4,0.175616,1
naive,scan,131072,32,0,0.155296,1
naive,scan,131072,32,1,0.245632,1
naive,scan,131072,32,2,0.155424,1
naive,scan,131072,32,3,0.155136,1
naive,scan,131072,32,4,0.337472,1
naive,scan,262144,32,0,0.206880,1
naive,scan,262144,32,1,0.312160,1
naive,scan,262144,32,2,0.206752,1
naive,scan,262144,32,3,0.597536,1
